Title,Municipality,City,Province,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
Water Treatment Facility Upgrade: New Membrane Building,City of Brandon - Manitoba,City of Brandon,Manitoba,127871394.77,CAD,,identified,90,Regular Council Meeting,2025-07-28,https://www.brandon.ca/media/4zpfsztw/agenda-july-28-2025.pdf,https://www.brandon.ca/city-hall/agendas-and-minutes,project_discussion,"Approval of bid from NAC Constructors Ltd. for the Water Treatment Facility Upgrade involving a new membrane building, with additional funding of $19,000,000 approved through ICIP and debenture. Total cost $127,871,394.77 (net of GST).",15.85,10.04,63.4,1.1,2011-2021,1971,53,2017,Original construction 1971. Major upgrades in 2002 (tertiary treatment) and 2015-2017 (expansion and UV disinfection).,,35c82463-0384-45de-a308-ba9d8cdd6ca0
"Lucan WWTP Expansion and Modernization - Lucan Biddulph Township, Ontario","Lucan Biddulph, Township of - Ontario","Lucan Biddulph, Township of",Ontario,17661438,CAD,,identified,70,,,https://www.lucanbiddulph.on.ca/sites/default/files/2026-01/2025%20Year%20in%20Review.pdf,https://www.lucanbiddulph.on.ca/town-hall/council-agendas-minutes,planning_stage,"The Township of Lucan Biddulph received significant provincial funding to support the expansion and modernization of its wastewater treatment plant. This funding announcement indicates a planned project driven by the need to expand capacity and modernize facilities, likely in response to growing demands or infrastructure age, though specific problems are not detailed. No current performance numbers versus requirements, violations, or failures are mentioned. Technical data from water/sewer highli",,,,1.6,2016-2021,,,,,,fbe2c617-b152-4557-8775-eefd82e7cdda
"Arthur Wastewater Treatment Plant Phase 2 Expansion - Township of Wellington North, Ontario","Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,13500000,CAD,,identified,95,"Regular Council Meeting, Township of Wellington North",2025-11-17,https://www.wellington-north.com/sites/default/files/2025-11/11-17-2025%20Council%20Agenda.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,planning_stage,"The Arthur Wastewater Treatment Plant (WWTP) has existing capacity of 1,860 m³/day (Phase 1 complete) with reserve capacity of 519 m³/day (~396 ERUs uncommitted). Current Average Daily Flow (ADF) projections: Stage 1 (2025) 1,627 m³/d; Stage 2 (2031) 2,556 m³/d; Stage 3 3,256 m³/d; Stage 4 4,575 m³/d. Phase 2 expansion to 2,300 m³/day is required by ~2030 to support part of Stage 2 development, reaching 75% capacity by ~2032 and 100% by 2038. Critical constraint is limited assimilative capacity ",,,,,,,,,,,b3379f50-ddf2-4f4a-9c55-7e281d1d2741
"Usine StarRE Treatment Capacity Increase - Châteauguay, Quebec",Châteauguay - Quebec,Châteauguay,Quebec,6231000,CAD,,identified,95,Séance ordinaire du Conseil municipal de la Ville de Châteauguay,2025-06-16,https://ville.chateauguay.qc.ca/wp-content/uploads/2025/01/V3_2025-06-16_ODJ.pdf,https://ville.chateauguay.qc.ca/affaires-municipales/seances-du-conseil/,project_discussion,"The City of Châteauguay is approving a borrowing bylaw for increasing the treatment capacity at the StarRE wastewater treatment plant (usine StarRE). This project is part of the PQI 2025-2029 program under reference TPHM25-001. No specific problem statement such as capacity shortages, effluent violations, or compliance issues is detailed in the agenda. No technical data including current flow rates, design capacity, organic loading, contaminant levels (e.g., TP, NH3, BOD, TSS), population served",,,,,,,,,,,8593035d-dad0-479b-950a-4b0a168b4025
"New Liskeard Lagoon Aeration/Capacity Project - Temiskaming Shores, Ontario","Temiskaming Shores, City of - Ontario","Temiskaming Shores, City of",Ontario,5880600,CAD,,identified,85,Committee of the Whole,2025-03-04,https://www.temiskamingshores.ca/media/42llrve3/00-2025-03-04-cow-agenda-package.pdf,https://www.temiskamingshores.ca/city-hall/mayor-council/council-meetings/,planning_stage,"The City of Temiskaming Shores is pursuing improvements to the aeration and capacity of the New Liskeard Lagoon, a wastewater treatment facility. Specific problems such as current capacity limitations or aeration deficiencies are not detailed in the agenda, but the project aims to address these through upgrades. No technical data including flow rates, design capacity vs. actual, contaminant levels, population served, infrastructure age, or existing treatment processes are provided in the availab",,,,-0.41,2016-2021,,,,,,3392352f-0566-4226-9ffd-4c8df9699e8d
"Arthur Wastewater Treatment Plant Phase 2 Upgrade - Arthur, ON","Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,4725000,CAD,,identified,90,Regular Council Meeting,2025-12-01,https://www.wellington-north.com/sites/default/files/2025-11/12-01-2025%20Council%20Agenda.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,project_discussion,"Arthur WWTP Phase 2 Upgrade proposes $4,725,000 debt financing in 2026. Previously listed large amounts (e.g., $13.5M in 2024). Indicates ongoing or continued major upgrade to wastewater treatment plant. No specific issues like effluent violations, capacity (hydraulic/organic), contaminants (P, N, BOD/TSS), flows, or permit conditions detailed. No compliance deadlines or Ministry orders mentioned. Existing processes unknown. Project scope multi-year with debt tested against ARL ($3.47M provincia",,,,,,,,,,,25c98d7e-74c3-4d5e-86d0-3874e4c52b3b
Chertsey Programme de réhabilitation de l’environnement - Installations septiques municipales,Chertsey - Quebec,Chertsey,Quebec,2000000,CAD,,identified,95,Procès-verbal de la séance ordinaire du conseil,2025-09-15,https://chertsey.ca/storage/app/media/municipalite/vie_democratique/proces-verbaux/2025/PV-Seance-du-15-septembre-2025.pdf,https://chertsey.ca/municipalite/vie-democratique/proces-verbaux,project_discussion,"The Municipality of Chertsey is approving a bylaw to authorize spending and borrowing up to 2,000,000 CAD to finance the Programme de réhabilitation de l’environnement focused on septic installations. The program aims to oblige property owners to maintain conforming and non-polluting septic systems, addressing environmental pollution from non-compliant on-site wastewater treatment systems. No specific current performance numbers, flows, capacities, or contaminant levels are mentioned, but the in",,,,1.34,2016-2021,,,,,,04629632-66d7-4aa3-a630-f9d63f9767f8
"Alexandria Lagoon Treatment Facility Tertiary Treatment - Disk Filter System Supply and Commissioning - Alexandria, Ontario","North Glengarry, Township of - Ontario","North Glengarry, Township of",Ontario,1151400,CAD,,identified,98,Special Meeting of Council,2025-07-23,https://www.northglengarry.ca/media/2iwcgozq/07-23-2025-special.pdf,https://www.northglengarry.ca/government/council-meeting-information/,project_discussion,"The Alexandria Lagoon Expansion design is being updated to incorporate efficient tertiary filtration technologies as an alternative to sand filters for final polishing after diffused-air lagoon and SAGR beds, targeting residual solids and phosphorus removal to meet stringent Ministry of the Environment, Conservation and Parks effluent total phosphorus limit of 0.15 mg/L. Original sand filters would incur high construction costs and servicing difficulties. RFP PW-2025-03 issued May 28, 2025, rece",,,,0.6,2016-2021,,,,,,a553f86a-559f-4f27-a35c-250591604211
Arthur Wastewater Treatment Plant - Second Phase,"Wellington North, Township of - Ontario","Wellington North, Township of",Ontario,1000000,CAD,,identified,90,Regular Council Meeting,2025-10-20,https://www.wellington-north.com/sites/default/files/2025-11/10-20-2025%20Council%20Minutes.pdf,https://www.wellington-north.com/government/council-committees/agendas-minutes,project_discussion,"The Township of Wellington North is seeking capital funding for infrastructure to support growth, specifically the second phase of the Arthur Wastewater Treatment Plant (WWTP). This project is tied to housing development needs, indicating capacity constraints or expansion requirements to accommodate population growth in Arthur. No specific problem statement details such as current performance failures, violations, or effluent issues are provided. No technical data is mentioned, including flow ra",,,,,,,,,,,a3fe8ec1-3efd-4e4c-b3cc-76e26e2a585e
Prescott Water Treatment Plant Flood Protection - Shoreline Breakwall Rebuild,"Prescott, Town of - Ontario","Prescott, Town of",Ontario,390000,CAD,,identified,95,Prescott Town Council,2025-06-02,https://www.prescott.ca/media/kvinchw2/council-agenda-june-2-2025.pdf,https://www.prescott.ca/town-hall/agendas-minutes/,project_discussion,"The existing concrete wall providing shoreline protection in front of the Prescott Water Treatment Plant is at the end of its service life with significant erosion having occurred. High water levels a few years ago caused water to flow over the existing wall and pond into the grass south of the building foundation, posing health and safety risks and compromising flood protection for the water treatment facility. This project aims to rebuild the shoreline protection with a new breakwall similar i",1.5,0.74,49,-0.96,2016-2021,1981,43,2012,Aerated lagoon system originally commissioned 1981; major upgrades include UV disinfection in 2012 and headworks improvements around 2007-2015,,f77930c7-dc29-4df8-98a9-00e854ee3e89
