Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
"Surface Water Treatment Plant Expansion - Florence, SC - Capacity Increase from 10 MGD to 15 MGD",Florence - South Carolina,Florence,South Carolina,270000000,USD,,identified,95,Florence City Council,2025-08-11,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/9-8-2025-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"The City of Florence is expanding its Surface Water Treatment Plant from a current capacity of 10 million gallons per day (MGD) to 15 MGD as part of a broader capital improvement program funded by waterworks and sewerage system revenue bonds. Originally planned for 20 MGD, the bid exceeded $350 million, leading to a revised scope to fit within bond capacity while allowing other projects. The plant currently provides 40% of supply (10 MGD out of average 23.5 MGD total production), with groundwate",,11.12,,4.5,2019-2023,1972,52,2016,Original commissioning approximate from historical reports; major upgrades noted in city master plans.,No,f9c7c564-2c4e-4bcf-ab86-816d6fa9ede5
Florence Water System SCADA Implementation and Groundwater Plant Upgrades,Florence - South Carolina,Florence,South Carolina,270000000,USD,,identified,90,Florence City Council,2025-08-11,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/9-8-2025-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"The City of Florence is implementing a Supervisory Control and Data Acquisition (SCADA) system across multiple water treatment plants to provide real-time operational data, improve efficiency, enable remote iron level monitoring, and allow well alternation where currently limited. Currently, only portions of the critical distribution system have SCADA; 4 water treatment plants lack it entirely, 10 controlled plants cannot alternate wells, and several elevated storage tanks lack monitoring/contro",,11.12,,4.5,2019-2023,,,,,,3f7aa726-3762-4a9e-a258-3cd8eaf2e390
"Department of Watershed Management WIFIA Funding Application - Up to $69.3M Water Infrastructure - Atlanta, GA",Atlanta - Georgia,Atlanta,Georgia,69300000,USD,,identified,90,City Utilities Committee,2020-02-11,https://atlantacityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3236,https://citycouncil.atlantaga.gov/standing-committees/meeting-agendas/agenda,planning_stage,"The Department of Watershed Management seeks major capital funding for water infrastructure projects via US EPA's Water Infrastructure Finance and Innovation Act (WIFIA). No specific problem statements, operational challenges, or compliance violations driving the application are detailed. No technical data such as flow rates, capacities, contaminant levels (TP, TN, NH3-N, BOD, TSS, E. coli), population served, or infrastructure age provided. Regulatory context: Application to US Environmental Pr",,74.8,,2.1,2019-2023,,,,,,e6fe9cb0-e588-4072-8e12-04bdec74cbcd
Minnetonka Vertical Water Infrastructure Renewal - 8 Water Treatment Plants and 2 Booster Stations,Minnetonka - Minnesota,Minnetonka,Minnesota,52350000,USD,,identified,95,City Council Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/5776a5dd-9c7d-11ef-ab4b-005056a89546-8b53084a-935e-43df-a437-ce07a0fb2835-1761251177.pdf,https://www.minnetonkamn.gov/government/city-meetings,planning_stage,"Vertical water assets include 8 water treatment plants (WTP No. 3,6,11,12,13,14,15,16) and 2 booster stations (Ridgedale, Tower Hill/Stonegate), with most equipment 30–50 years old, many beyond expected lifespans. Detailed asset-by-asset evaluations identify condition and replacement needs for filters, pumps, electrical, aeration, chemical systems (e.g., Tables 3-2 to 3-31 for each facility's info, assessment summary, equipment replacement). WTP 14 and WTP 16 most critical due to production capa",,,,0.4,2019-2023,,,,No municipal WWTP operated by Minnetonka.,,d33d5508-72b0-4292-8cbd-04a1ef81f834
"Jeffries Creek Sanitary Sewer Project Phase I - New 54-inch Gravity Sewer Line along South Church Street to Wastewater Treatment Plant, Florence SC",Florence - South Carolina,Florence,South Carolina,50000000,USD,,identified,100,Florence City Council Regular Meeting,2025-12-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/1-12-2026-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"The Jeffries Creek Sanitary Sewer Project addresses overloading and sanitary sewer overflows in the existing infrastructure along Jeffries Creek Interceptor, particularly during stormwater events, which cause leaks and high pressure due to approximately 2.5 million gallons per day (MGD) of new flow from the western side of the system currently traveling through Jeffries Creek. The existing system is inadequate to handle this flow, leading to performance issues and public concerns about overflows",,11.12,,4.5,2019-2023,,,,No specific verified dates found in accessible sources,,717b9e0d-7725-4d44-b727-a4024b262702
Pirates Beach Wastewater Treatment Plant and Lift Station #35 - Reconstruction Project Funding Reallocation,Galveston - Texas,Galveston,Texas,22797120,USD,,identified,90,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,https://www.galvestontx.gov/AgendaCenter/City-Council-16,project_discussion,"Amendment to funding source for the existing contract with Industrial TX Corp. for the Pirates Beach Wastewater Treatment Plant and Lift Station #35 Reconstruction Project, originally approved August 24, 2023. This major capital infrastructure project involves full reconstruction of WWTP and lift station. No new problem statement but implies ongoing needs for wastewater treatment and collection upgrades. Value $22,797,120.00. No technical data like flows, capacities, contaminants, or population ",,10,,6.2,2019-2023,1978,46,2012,Original construction circa 1978 with expansions; major upgrade in 2012 per city engineering reports.,No,958532e4-c6cf-4314-ab9c-d095174319c1
"Wastewater Treatment Plant Refurbishment - Moore, OK",Moore - Oklahoma,Moore,Oklahoma,20000000,USD,,identified,90,Moore City Council / Moore Public Works Authority,2026-01-05,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/10526citycouncilmin-pdf.pdf,https://www.cityofmoore.com/government/archives-public-meetings,planning_stage,"The Moore Wastewater Treatment Plant requires refurbishment estimated at $20 million, listed as a future capital project with no current funding source. The City is in the process of obtaining an Oklahoma Water Resources Board (OWRB) loan for this project, with all OWRB loans structured for 25-year terms. Potential repayment sources include sales tax allocations or water bill increases if sales tax proposition fails. No specific problem statement details like current performance issues, flow rat",,5,,3.4,2019-2023,,,,,,285c6dde-cc62-48fa-a6a4-f5b193a18bfd
Moore Wastewater Treatment Plant Refurbishment,Moore - Oklahoma,Moore,Oklahoma,20000000,USD,,identified,85,Moore City Council,2026-01-05,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/agenda-1-20-26binder1pdf.pdf,https://www.cityofmoore.com/government/archives-public-meetings,planning_stage,"The City of Moore is planning a major refurbishment of the Wastewater Treatment Plant (WWTP), estimated at $20 million, as a future capital project requiring significant investment. No specific problem statement such as plant performance failures, compliance violations, or operational challenges is detailed. No technical data including flow rates (ML/day, MGD), capacities (hydraulic vs organic), contaminant levels (TP, TN, NH3-N, BOD, TSS, E. coli), population served, infrastructure age, or curr",,5,,3.4,2019-2023,,,,,,bcc5d723-3b20-4774-85a4-8717fc70fdf9
"Phenix City Wastewater Treatment Plant Improvements, Sewer Collection System Upgrades, and Water Line Replacements",Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,85,,2016-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2016-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City operates water and sewer services through its Public Utilities Fund, with treatment facilities currently operating at just over 60% capacity, leaving room for growth. The improvements are driven by State of Alabama EPA mandated upgrades to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. The City is in the 8th year of a 9-year pl",,2.84,,5.4,2019-2023,,,,,,5572ee10-6b6a-4f9e-8a23-b6823977a5fa
Phenix City Wastewater Treatment Plant Upgrades and Collection System Improvements,Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,75,,2023-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2023-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The City of Phenix City is nearing completion of capital improvements to the Wastewater Treatment Plant and collection system driven by State of Alabama EPA mandated improvements requiring capital investment in infrastructure upgrades and expansions. The Wastewater Treatment Plant currently operates at 75% capacity, and upon completion of the upgrades, it will operate at 58% capacity, indicating an expansion or efficiency improvement to handle higher flows or loads. No specific current performan",,2.84,,5.4,2019-2023,,,,,,049fad87-1a3b-409f-ad06-20de51ab9334
