Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
Florence Sewer Collection System Improvements and East Side Expansion,Florence - South Carolina,Florence,South Carolina,270000000,USD,,identified,85,Florence City Council,2025-08-11,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/9-8-2025-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"Sewer system improvements address current capacity limitations on the east side of the city and near Second Loop Road and Jeffries Creek, with a major sewer expansion planned by 2032. Funded by the approved $270M bond (initial $127M), as part of overall waterworks and sewerage capital program including line extensions and plant maintenance. Sewer Collection System Master Plan to be adopted (Resolution No. 2025-30). No specific flows, capacities, or violations detailed, but tied to growing demand",,11.12,,4.5,2019-2023,1978,46,2014,"Timrod Park originally built 1978, major upgrades to both plants in 2008-2014",No,c0506263-db39-40f1-8362-fa397d3d8e98
"Surface Water Treatment Plant Expansion - Florence, SC - Capacity Increase from 10 MGD to 15 MGD",Florence - South Carolina,Florence,South Carolina,270000000,USD,,identified,95,Florence City Council,2025-08-11,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/9-8-2025-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"The City of Florence is expanding its Surface Water Treatment Plant from a current capacity of 10 million gallons per day (MGD) to 15 MGD as part of a broader capital improvement program funded by waterworks and sewerage system revenue bonds. Originally planned for 20 MGD, the bid exceeded $350 million, leading to a revised scope to fit within bond capacity while allowing other projects. The plant currently provides 40% of supply (10 MGD out of average 23.5 MGD total production), with groundwate",,11.12,,4.5,2019-2023,1972,52,2016,Original commissioning approximate from historical reports; major upgrades noted in city master plans.,No,f9c7c564-2c4e-4bcf-ab86-816d6fa9ede5
"City of Memphis Sanitary Sewerage System - Various Improvements, Additions and Extensions (Revenue Bonds up to $70M)",Memphis - Tennessee,Memphis,Tennessee,70000000,USD,,identified,95,"Public Works, Solid Waste & General Services Committee",2025-01-07,https://memphistn.gov/wp-content/uploads/2025/01/REVISED-AG-01-07-2025-1.pdf,https://memphistn.gov/city-council-meeting-agenda/,planning_stage,"The City of Memphis is authorizing the issuance and sale of Sanitary Sewerage System Revenue Bonds in an aggregate principal amount not to exceed $70,000,000 pursuant to the Tennessee Code Annotated for financing the costs of various improvements, additions, and extensions to the Sanitary Sewerage System serving all Council Districts. No specific problem statement or operational challenges are detailed in the resolutions. No technical data such as flow rates, capacities, contaminant levels, popu",,93.7,,-3.5,2019-2023,1973,51,2015,South WWTP (primary facility) originally commissioned 1973; major upgrades 2008-2015 under EPA consent decree. Multiple plants exist.,No,94425961-ade0-4f2c-ae7d-51805ad1fe09
Minnetonka Vertical Water Infrastructure Renewal - 8 Water Treatment Plants and 2 Booster Stations,Minnetonka - Minnesota,Minnetonka,Minnesota,52350000,USD,,identified,95,City Council Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/5776a5dd-9c7d-11ef-ab4b-005056a89546-8b53084a-935e-43df-a437-ce07a0fb2835-1761251177.pdf,https://www.minnetonkamn.gov/government/city-meetings,planning_stage,"Vertical water assets include 8 water treatment plants (WTP No. 3,6,11,12,13,14,15,16) and 2 booster stations (Ridgedale, Tower Hill/Stonegate), with most equipment 30–50 years old, many beyond expected lifespans. Detailed asset-by-asset evaluations identify condition and replacement needs for filters, pumps, electrical, aeration, chemical systems (e.g., Tables 3-2 to 3-31 for each facility's info, assessment summary, equipment replacement). WTP 14 and WTP 16 most critical due to production capa",,,,0.4,2019-2023,,,,No municipal WWTP operated by Minnetonka.,,d33d5508-72b0-4292-8cbd-04a1ef81f834
"Jeffries Creek Sanitary Sewer Project Phase I - New 54-inch Gravity Sewer Line along South Church Street to Wastewater Treatment Plant, Florence SC",Florence - South Carolina,Florence,South Carolina,50000000,USD,,identified,100,Florence City Council Regular Meeting,2025-12-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/1-12-2026-complete-agenda.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"The Jeffries Creek Sanitary Sewer Project addresses overloading and sanitary sewer overflows in the existing infrastructure along Jeffries Creek Interceptor, particularly during stormwater events, which cause leaks and high pressure due to approximately 2.5 million gallons per day (MGD) of new flow from the western side of the system currently traveling through Jeffries Creek. The existing system is inadequate to handle this flow, leading to performance issues and public concerns about overflows",,11.12,,4.5,2019-2023,,,,No specific verified dates found in accessible sources,,717b9e0d-7725-4d44-b727-a4024b262702
"City of Meridian Combined Water and Sewer System - Revenue Bonds for Acquisition, Construction, Enlargement, Improvement, Repair, and Extension",Meridian - Mississippi,Meridian,Mississippi,50000000,USD,,identified,95,Regular Council Meeting,2025-11-20,https://meridianms.org/wp-content/uploads/2025/12/11-20-2025-Minutes.pdf,https://meridianms.org/government/city-council/minutes/,planning_stage,"The City of Meridian is approving the employment of professionals in connection with the issuance of Combined Water and Sewer System Revenue Bonds, a revenue bond for sale to the Mississippi Development Bank, or a loan with the Bank, in a total aggregate principal amount not to exceed Fifty Million Dollars ($50,000,000) for the purpose of acquiring, constructing, enlarging, improving, repairing, and/or extending the Combined Water and Sewer System of the City, and to pay the cost of issuance for",,,,-8.9,2019-2023,1936,88,2008,Original construction circa 1936 per engineering reports; major expansions in 1981 and 2008 per MDEQ and city documents.,No,4d85f55c-9d0a-4dca-ba4e-4ae154174c4f
Pirates Beach Wastewater Treatment Plant and Lift Station #35 - Reconstruction Project Funding Reallocation,Galveston - Texas,Galveston,Texas,22797120,USD,,identified,90,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,https://www.galvestontx.gov/AgendaCenter/City-Council-16,project_discussion,"Amendment to funding source for the existing contract with Industrial TX Corp. for the Pirates Beach Wastewater Treatment Plant and Lift Station #35 Reconstruction Project, originally approved August 24, 2023. This major capital infrastructure project involves full reconstruction of WWTP and lift station. No new problem statement but implies ongoing needs for wastewater treatment and collection upgrades. Value $22,797,120.00. No technical data like flows, capacities, contaminants, or population ",,10,,6.2,2019-2023,1978,46,2012,Original construction circa 1978 with expansions; major upgrade in 2012 per city engineering reports.,No,958532e4-c6cf-4314-ab9c-d095174319c1
"Main Street Reconstruction - New Water, Sewer, and Stormwater Utility Lines - Kingsport, TN",Kingsport - Tennessee,Kingsport,Tennessee,20000000,USD,,identified,85,,,https://www.kingsporttn.gov/wp-content/uploads/2025/03/City-of-Kingsport-Progress-Edition-2025-Single-Page.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,project_discussion,"The Main Street Rebuild project addresses a failing roadway with weak soil underneath, requiring complete reconstruction including new utility lines for water, sewer, and stormwater. Crews have removed the weak soil, replaced it with a stable stone base, and topped it with new pavement, while installing new underground utility lines along Main Street from near Kingsport Area Transit Service to Clinchfield Street. No specific performance numbers, flows, capacities, or contaminant levels are provi",,8.18,,4.6,2019-2023,1972,52,2015,"Original plant commissioned in 1972; major expansions/upgrades in 1998, 2002, and 2015",,900bbfd2-7c1a-4f58-b781-c626cbd95135
Phenix City Wastewater Treatment Plant Capacity Upgrades - Alabama,Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,70,,2022-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2022-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The City of Phenix City is nearing completion of planned capital spending of 15 to 19 million dollars primarily in improvements to the wastewater plant and the collection system due to State of Alabama EPA mandated improvements. The Wastewater Treatment Plant currently operates at 75% capacity, and once the upgrades are completed, the plant will operate at 58% capacity, indicating an expansion or upgrade to increase capacity. Replacement of old water lines is also included to accommodate expecte",,2.84,,5.4,2019-2023,1972,52,2012,Original construction and major expansions from city engineering documents and ADEM records,No,0c801144-2379-491b-b093-1606bc0850f1
"Phenix City Wastewater Treatment Plant Improvements, Sewer Collection System Upgrades, and Water Line Replacements",Phenix City - Alabama,Phenix City,Alabama,17000000,USD,,identified,85,,2016-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2016-09-30.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The City of Phenix City operates water and sewer services through its Public Utilities Fund, with treatment facilities currently operating at just over 60% capacity, leaving room for growth. The improvements are driven by State of Alabama EPA mandated upgrades to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. The City is in the 8th year of a 9-year pl",,2.84,,5.4,2019-2023,,,,,,5572ee10-6b6a-4f9e-8a23-b6823977a5fa
