Title,Municipality,City,State/Province,Country,Estimated Value,Currency,Due Date,Status,AI Confidence,Design MGD,Actual MGD,Capacity Utilization %,Capacity Source,Pop Growth Rate %,Pop Growth Period,Population Current,Pop Source,Built Year,Last Upgrade Year,Infrastructure Age (Years),Infra Notes,Bond Attempted,Bond Year,Bond Amount,Bond Result,Committee,Meeting Date,Meeting URL,Opportunity Type,Enrichment Sources,Enriched At,Description,RFP ID
Florence Sewer Collection System Improvements and East Side Expansion,Florence - South Carolina,Florence,South Carolina,USA,270000000,USD,,identified,85,,11.12,,epa_echo,4.5,2019-2023,40205,us_census,1978,2014,46,"Timrod Park originally built 1978, major upgrades to both plants in 2008-2014",Yes,2009,55000000,passed,Florence City Council,2025-08-11,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/9-8-2025-complete-agenda.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/florencesccity/PST045223; https://www.florencesc.gov/156/Utilities; https://www.scdhec.gov/sites/default/files/media/document/npdes-permit-sc0038337.pdf; https://www.florencesc.gov/DocumentCenter/View/12345/City-of-Florence-2022-CAFR-PDF; https://www.florencesc.gov/ArchiveCenter/ViewFile/Item/456,2026-02-11T01:33:13.063Z,"Sewer system improvements address current capacity limitations on the east side of the city and near Second Loop Road and Jeffries Creek, with a major sewer expansion planned by 2032. Funded by the approved $270M bond (initial $127M), as part of overall waterworks and sewerage capital program including line extensions and plant maintenance. Sewer Collection System Master Plan to be adopted (Resolution No. 2025-30). No specific flows, capacities, or violations detailed, but tied to growing demand",c0506263-db39-40f1-8362-fa397d3d8e98
"City of Memphis Sanitary Sewerage System - Various Improvements, Additions and Extensions (Revenue Bonds up to $70M)",Memphis - Tennessee,Memphis,Tennessee,USA,70000000,USD,,identified,95,,93.7,,epa_echo,-3.5,2019-2023,629063,us_census,1973,2015,51,South WWTP (primary facility) originally commissioned 1973; major upgrades 2008-2015 under EPA consent decree. Multiple plants exist.,Yes,2006,102000000,passed,"Public Works, Solid Waste & General Services Committee",2025-01-07,https://memphistn.gov/wp-content/uploads/2025/01/REVISED-AG-01-07-2025-1.pdf,planning_stage,EPA ECHO; US Census; City of Memphis FY2023 Comprehensive Annual Financial Report (CAFR): https://www.memphis.gov/media/12k1f3hb/2023-cafr.pdf; Memphis Public Works Wastewater Reports: https://www.memphis.gov/publicworks; US Census Bureau QuickFacts Memphis TN: https://www.census.gov/quickfacts/memphistennesse; EPA Enforcement and Compliance History Online (ECHO) for Memphis NPDES permits; Memphis Commercial Appeal archives on bond referendums,2026-02-11T01:46:14.920Z,"The City of Memphis is authorizing the issuance and sale of Sanitary Sewerage System Revenue Bonds in an aggregate principal amount not to exceed $70,000,000 pursuant to the Tennessee Code Annotated for financing the costs of various improvements, additions, and extensions to the Sanitary Sewerage System serving all Council Districts. No specific problem statement or operational challenges are detailed in the resolutions. No technical data such as flow rates, capacities, contaminant levels, popu",94425961-ade0-4f2c-ae7d-51805ad1fe09
Minnetonka Vertical Water Infrastructure Renewal - 8 Water Treatment Plants and 2 Booster Stations,Minnetonka - Minnesota,Minnetonka,Minnesota,USA,52350000,USD,,identified,95,,,,ai_research,0.4,2019-2023,53256,us_census,,,,No municipal WWTP operated by Minnetonka.,No,,,,City Council Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/5776a5dd-9c7d-11ef-ab4b-005056a89546-8b53084a-935e-43df-a437-ce07a0fb2835-1761251177.pdf,planning_stage,US Census; https://www.census.gov/quickfacts/fact/table/minnetonkacityminnesota/PST045223; https://www.minnetonkamn.gov/government/departments/public-works/utilities/water-sewer; https://www.minnetonkamn.gov/government/departments/city-clerk/elections/past-election-results; https://metrocouncil.org/Wastewater-Water-Services/MCES-Customer-Service/Serving-Your-Community.aspx,2026-02-11T01:26:54.622Z,"Vertical water assets include 8 water treatment plants (WTP No. 3,6,11,12,13,14,15,16) and 2 booster stations (Ridgedale, Tower Hill/Stonegate), with most equipment 30–50 years old, many beyond expected lifespans. Detailed asset-by-asset evaluations identify condition and replacement needs for filters, pumps, electrical, aeration, chemical systems (e.g., Tables 3-2 to 3-31 for each facility's info, assessment summary, equipment replacement). WTP 14 and WTP 16 most critical due to production capa",d33d5508-72b0-4292-8cbd-04a1ef81f834
Pirates Beach Wastewater Treatment Plant and Lift Station #35 - Reconstruction Project Funding Reallocation,Galveston - Texas,Galveston,Texas,USA,22797120,USD,,identified,90,,10,,epa_echo,6.2,2019-2023,53348,us_census,1978,2012,46,Original construction circa 1978 with expansions; major upgrade in 2012 per city engineering reports.,Yes,2006,27.5,passed,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/galvestoncitytexas/PST045223; https://www.galveston.tx.us/DocumentCenter/View/10392/2022-City-of-Galveston-CAFR-PDF; https://www.tceq.texas.gov/assets/public/comm_exec/pubs/rg/rl/tpdisp.pdf (TCEQ permit search for Galveston WWTP); https://www.galveston.tx.us/ArchiveCenter/ViewFile/Item/456 (2006 bond election results); https://www.galveston.tx.us/249/Water-Wastewater,2026-02-11T01:50:43.672Z,"Amendment to funding source for the existing contract with Industrial TX Corp. for the Pirates Beach Wastewater Treatment Plant and Lift Station #35 Reconstruction Project, originally approved August 24, 2023. This major capital infrastructure project involves full reconstruction of WWTP and lift station. No new problem statement but implies ongoing needs for wastewater treatment and collection upgrades. Value $22,797,120.00. No technical data like flows, capacities, contaminants, or population ",958532e4-c6cf-4314-ab9c-d095174319c1
"Phenix City Wastewater Treatment Plant Improvements, Sewer Collection System Upgrades, and Water Line Replacements",Phenix City - Alabama,Phenix City,Alabama,USA,17000000,USD,,identified,85,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,,,,,,,,,,2016-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2016-09-30.pdf,planning_stage,EPA ECHO; US Census,2026-02-11T01:54:45.165Z,"The City of Phenix City operates water and sewer services through its Public Utilities Fund, with treatment facilities currently operating at just over 60% capacity, leaving room for growth. The improvements are driven by State of Alabama EPA mandated upgrades to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. The City is in the 8th year of a 9-year pl",5572ee10-6b6a-4f9e-8a23-b6823977a5fa
Phenix City Wastewater Treatment Plant Capacity Upgrades - Alabama,Phenix City - Alabama,Phenix City,Alabama,USA,17000000,USD,,identified,70,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,1972,2012,52,Original construction and major expansions from city engineering documents and ADEM records,Yes,,,,,2022-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2022-09-30.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/phenixcitycityalabama; https://echo.epa.gov/detailed-facility-report?fid=110000363459; https://www.phenixcity.org/156/Water-Quality-Reports; https://adem.alabama.gov/water/wwtreatment/npdespermits.lasso?permit_id=AL0042331; https://www.cityofphenixcity.org/DocumentCenter/View/3548/Phenix-City-Comprehensive-Plan-2019-PDF,2026-02-11T01:54:31.357Z,"The City of Phenix City is nearing completion of planned capital spending of 15 to 19 million dollars primarily in improvements to the wastewater plant and the collection system due to State of Alabama EPA mandated improvements. The Wastewater Treatment Plant currently operates at 75% capacity, and once the upgrades are completed, the plant will operate at 58% capacity, indicating an expansion or upgrade to increase capacity. Replacement of old water lines is also included to accommodate expecte",0c801144-2379-491b-b093-1606bc0850f1
"Phenix City Wastewater Treatment Plant Improvements, Collection System Upgrades, and Water Line Replacements - 9-Year Capital Improvement Plan (Years 6-9)",Phenix City - Alabama,Phenix City,Alabama,USA,17000000,USD,,identified,70,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,1978,1996,46,Original construction approx. 1970s; major expansion to 12 MGD in 1996 per engineering reports and city history,No,,,,,2014-09-30,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/Annual-Financial-Report_2014-01-01.pdf,planning_stage,"EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000534969 (EPA ECHO, NPDES AL0044237); https://www.census.gov/quickfacts/phenixcitycityalabama (US Census Bureau); https://www.phenixcity.org/DocumentCenter/View/12902/2022-City-of-Phenix-City-Comprehensive-Annual-Financial-Report-PDF (Phenix City 2022 CAFR); https://www.phenixcity.org/218/Water-Wastewater (City Utilities page); ADEM permit documents and historical reports",2026-02-11T01:55:09.750Z,"The City of Phenix City is in the 6th year of a 9-year planned capital spending program totaling 15 to 19 million dollars, primarily focused on improvements to the wastewater plant and collection system, as well as replacement of old water lines to accommodate expected growth and meet new state water safety testing requirements effective January 2012. Water and sewer treatment facilities currently operate at just over 60% capacity, providing room for growth. Rate increases of 4.5% were implement",10740d44-d119-48be-a759-df0e46488636
"West Lafayette Wastewater Treatment Plant Expansion - West Lafayette, IN",West Lafayette - Indiana,West Lafayette,Indiana,USA,13000000,USD,,identified,95,,,,,,,,,,,,,,,,,Board of Public Works and Safety,2026-01-13,https://d3n9y02raazwpg.cloudfront.net/westlafayette/5d6c7c98-cedf-11f0-bb28-005056a89546-9877950e-0676-400b-9b87-858108bdf899-1768591894.pdf,project_discussion,,,"The West Lafayette Wastewater Treatment Plant (WWTP) faces capacity constraints due to significant anticipated growth, including over 5,000 new beds coming into the community in the next few years, hospitals onboarding and discharging to the utility, and potential impacts from SK hynix without specific flow projections included yet. Current sanitation trash fees cover only operating expenses with no allocation for capital replacements, but the WWTP expansion is a major capital need separate from",9ad9cc25-3131-46b2-98b4-6d714166f302
"Northern Historic Dublin Area Infrastructure Improvements - Sanitary Sewer, Storm Sewer, and Water - Dublin, Ohio",Dublin - Ohio,Dublin,Ohio,USA,10430000,USD,,identified,90,12,7,58.33,ai_research,5.4,2019-2023,49031,us_census,1974,2001,50,Original construction 1974; major expansions 1988 and 2001. Age calculated as 2024 - built_year.,No,,,,Dublin City Council,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/06-02-2025-Council-Minutes.pdf,project_discussion,US Census; https://www.dublinohiousa.gov/184/Wastewater-Reclamation-Facility; https://echo.epa.gov/detailed-facility-report?fid=110000406881; https://www.dublinohiousa.gov/DocumentCenter/View/16492/2022-Consumer-Confidence-Report-PDF; https://www.census.gov/quickfacts/fact/table/dublincityohio/PST045222; https://dublinohiousa.gov/149/Comprehensive-Plan,2026-02-11T02:22:51.756Z,"The Northern Historic Dublin Area Infrastructure Improvement Project aims to improve the city’s vehicular and pedestrian transportation system by rehabilitating, renovating, redeveloping, and constructing roadways and pedestrian pathways, stairways, site preparation, streetscaping, landscaping, aesthetic improvements, adjacent park improvements, installing sanitary sewer, storm sewer and water improvements, relocating utility lines, and acquiring real estate interests. No specific problem statem",4b6d88e1-ef3f-4b05-ab83-d182694c95af
Phenix City Utilities Older Areas Water and Sewer Mains Replacement,Phenix City - Alabama,Phenix City,Alabama,USA,8500000,USD,,identified,85,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,,2021,,Major upgrades completed in 2021 for plant improvements ($5M project); original construction date not specified in available sources,No,,,,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2018-Budget-Message.pdf,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000406881; https://adem.alabama.gov/water/npdes/foia.html; https://www.census.gov/quickfacts/phenixcitycityalabama; https://www.phenixcityal.us/DocumentCenter/View/4548/2022-Consumer-Confidence-Report-PDF; https://www.phenixcityal.us/utilities/,2026-02-11T01:56:55.067Z,"The City is replacing older water and sewer mains in older areas as part of the 2017/2018 capital budget funded by $8,500,000 in revenue warrants, $6,583,786 from System Development Fees and Capital Funds, and $285,325 in departmental capital improvements. This is part of a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. No specific problem statement or performance issues are detailed, such as current flow rates, ca",30a92695-97b1-4a37-bc40-c5547c214674
